0.000000	-nan	-nan	-nan	
0.100000	58237060.000000	0.000000	1391.193359	
0.141421	57024436.000000	0.000000	111.568520	
0.173205	56111108.000000	0.000000	19.559418	
0.200000	55352504.000000	0.000000	1.888397	
0.223607	54692672.000000	0.000000	-3.085690	
0.244949	54102904.000000	0.000000	-4.730345	
0.264575	53566172.000000	0.000000	-5.270967	
0.282843	53071384.000000	0.000000	-5.391541	
0.300000	52610824.000000	0.000000	-5.340202	
0.316228	52178900.000000	0.000000	-5.217620	
0.331662	51771372.000000	0.000000	-5.067800	
0.346410	51384964.000000	0.000000	-4.910861	
0.360555	51017052.000000	0.000000	-4.756139	
0.374166	50665528.000000	0.000000	-4.607854	
0.387298	50328644.000000	0.000000	-4.467722	
0.400000	50004948.000000	0.000000	-4.336218	
0.412311	49693200.000000	0.000000	-4.213200	
0.424264	49392360.000000	0.000000	-4.098237	
0.435890	49101516.000000	0.000000	-3.990776	
0.447214	48819868.000000	0.000000	-3.890233	
0.458258	48546740.000000	0.000000	-3.796031	
0.469042	48281516.000000	0.000000	-3.707629	
0.479583	48023656.000000	0.000000	-3.624525	
0.489898	47772672.000000	0.000000	-3.546264	
0.500000	47528140.000000	0.000000	-3.472432	
0.509902	47289664.000000	0.000000	-3.402658	
0.519615	47056896.000000	0.000000	-3.336607	
0.529150	46829512.000000	0.000000	-3.273978	
0.538516	46607224.000000	0.000000	-3.214501	
0.547723	46389768.000000	0.000000	-3.157932	
0.556776	46176892.000000	0.000000	-3.104052	
0.565685	45968376.000000	0.000000	-3.052663	
0.574456	45764016.000000	0.000000	-3.003586	
0.583095	45563616.000000	0.000000	-2.956657	
0.591608	45367004.000000	0.000000	-2.911731	
0.600000	45174008.000000	0.000000	-2.868671	
0.608276	44984484.000000	0.000000	-2.827358	
0.616441	44798276.000000	0.000000	-2.787678	
0.624500	44615264.000000	0.000000	-2.749530	
0.632456	44435312.000000	0.000000	-2.712819	
0.640312	44258312.000000	0.000000	-2.677461	
0.648074	44084152.000000	0.000000	-2.643375	
0.655744	43912720.000000	0.000000	-2.610490	
0.663325	43743928.000000	0.000000	-2.578738	
0.670820	43577680.000000	0.000000	-2.548056	
0.678233	43413892.000000	0.000000	-2.518387	
0.685565	43252484.000000	0.000000	-2.489678	
0.692820	43093372.000000	0.000000	-2.461879	
0.700000	42936484.000000	0.000000	-2.434944	
0.707107	42781752.000000	0.000000	-2.408830	
0.714143	42629108.000000	0.000000	-2.383497	
0.721110	42478492.000000	0.000000	-2.358907	
0.728011	42329844.000000	0.000000	-2.335026	
0.734847	42183100.000000	0.000000	-2.311821	
0.741620	42038216.000000	0.000000	-2.289260	
0.748331	41895128.000000	0.000000	-2.267316	
0.754983	41753796.000000	0.000000	-2.245961	
0.761577	41614168.000000	0.000000	-2.225170	
0.768115	41476200.000000	0.000000	-2.204919	
0.774597	41339844.000000	0.000000	-2.185185	
0.781025	41205068.000000	0.000000	-2.165948	
0.787401	41071820.000000	0.000000	-2.147187	
0.793725	40940076.000000	0.000000	-2.128882	
0.800000	40809788.000000	0.000000	-2.111017	
0.806226	40680924.000000	0.000000	-2.093574	
0.812404	40553448.000000	0.000000	-2.076537	
0.818535	40427328.000000	0.000000	-2.059891	
0.824621	40302532.000000	0.000000	-2.043621	
0.830662	40179036.000000	0.000000	-2.027715	
0.836660	40056804.000000	0.000000	-2.012158	
0.842615	39935816.000000	0.000000	-1.996938	
0.848528	39816032.000000	0.000000	-1.982043	
0.854400	39697432.000000	0.000000	-1.967463	
0.860233	39579996.000000	0.000000	-1.953187	
0.866025	39463692.000000	0.000000	-1.939204	
0.871780	39348496.000000	0.000000	-1.925505	
0.877496	39234392.000000	0.000000	-1.912080	
0.883176	39121356.000000	0.000000	-1.898920	
0.888819	39009360.000000	0.000000	-1.886018	
0.894427	38898392.000000	0.000000	-1.873365	
0.900000	38788428.000000	0.000000	-1.860953	
0.905539	38679444.000000	0.000000	-1.848774	
0.911043	38571432.000000	0.000000	-1.836823	
0.916515	38464364.000000	0.000000	-1.825091	
0.921954	38358228.000000	0.000000	-1.813572	
0.927362	38253004.000000	0.000000	-1.802261	
0.932738	38148676.000000	0.000000	-1.791151	
0.938083	38045228.000000	0.000000	-1.780235	
0.943398	37942648.000000	0.000000	-1.769510	
0.948683	37840912.000000	0.000000	-1.758969	
0.953939	37740012.000000	0.000000	-1.748608	
0.959166	37639928.000000	0.000000	-1.738420	
0.964365	37540652.000000	0.000000	-1.728403	
0.969536	37442172.000000	0.000000	-1.718550	
0.974679	37344468.000000	0.000000	-1.708858	
0.979796	37247528.000000	0.000000	-1.699323	
0.984886	37151344.000000	0.000000	-1.689940	
0.989949	37055900.000000	0.000000	-1.680706	
0.994987	36961184.000000	0.000000	-1.671615	
1.000000	36867184.000000	0.000000	-1.662666	
1.004988	36773896.000000	0.000000	-1.653855	
1.009950	36681296.000000	0.000000	-1.645178	
1.014889	36589388.000000	0.000000	-1.636631	
1.019804	36498148.000000	0.000000	-1.628212	
1.024695	36407572.000000	0.000000	-1.619917	
1.029563	36317652.000000	0.000000	-1.611744	
1.034408	36228372.000000	0.000000	-1.603689	
1.039230	36139732.000000	0.000000	-1.595751	
1.044031	36051708.000000	0.000000	-1.587925	
1.048809	35964308.000000	0.000000	-1.580210	
1.053565	35877512.000000	0.000000	-1.572603	
1.058301	35791316.000000	0.000000	-1.565102	
1.063015	35705704.000000	0.000000	-1.557704	
1.067708	35620680.000000	0.000000	-1.550407	
1.072381	35536224.000000	0.000000	-1.543208	
1.077033	35452336.000000	0.000000	-1.536107	
1.081665	35369008.000000	0.000000	-1.529099	
1.086278	35286224.000000	0.000000	-1.522184	
1.090871	35203988.000000	0.000000	-1.515360	
1.095445	35122284.000000	0.000000	-1.508623	
1.100000	35041108.000000	0.000000	-1.501974	
1.104536	34960452.000000	0.000000	-1.495410	
1.109054	34880316.000000	0.000000	-1.488928	
1.113553	34800684.000000	0.000000	-1.482528	
1.118034	34721552.000000	0.000000	-1.476208	
1.122497	34642920.000000	0.000000	-1.469966	
1.126943	34564772.000000	0.000000	-1.463801	
1.131371	34487108.000000	0.000000	-1.457711	
1.135782	34409920.000000	0.000000	-1.451694	
1.140175	34333200.000000	0.000000	-1.445750	
1.144552	34256944.000000	0.000000	-1.439876	
1.148913	34181148.000000	0.000000	-1.434072	
1.153256	34105808.000000	0.000000	-1.428336	
1.157584	34030912.000000	0.000000	-1.422666	
1.161895	33956464.000000	0.000000	-1.417062	
1.166190	33882452.000000	0.000000	-1.411523	
1.170470	33808868.000000	0.000000	-1.406046	
1.174734	33735712.000000	0.000000	-1.400632	
1.178983	33662980.000000	0.000000	-1.395278	
1.183216	33590664.000000	0.000000	-1.389984	
1.187434	33518762.000000	0.000000	-1.384749	
1.191638	33447268.000000	0.000000	-1.379572	
1.195826	33376172.000000	0.000000	-1.374451	
1.200000	33305476.000000	0.000000	-1.369385	
1.204159	33235176.000000	0.000000	-1.364374	
1.208305	33165268.000000	0.000000	-1.359417	
1.212436	33095740.000000	0.000000	-1.354513	
1.216553	33026598.000000	0.000000	-1.349660	
1.220656	32957830.000000	0.000000	-1.344858	
1.224745	32889436.000000	0.000000	-1.340106	
1.228821	32821410.000000	0.000000	-1.335404	
1.232883	32753750.000000	0.000000	-1.330750	
1.236932	32686450.000000	0.000000	-1.326144	
1.240967	32619506.000000	0.000000	-1.321584	
1.244990	32552918.000000	0.000000	-1.317070	
1.249000	32486680.000000	0.000000	-1.312602	
1.252996	32420786.000000	0.000000	-1.308178	
1.256981	32355234.000000	0.000000	-1.303798	
1.260952	32290022.000000	0.000000	-1.299462	
1.264911	32225146.000000	0.000000	-1.295167	
1.268858	32160604.000000	0.000000	-1.290915	
1.272792	32096384.000000	0.000000	-1.286703	
1.276715	32032496.000000	0.000000	-1.282532	
1.280625	31968930.000000	0.000000	-1.278401	
1.284523	31905680.000000	0.000000	-1.274309	
1.288410	31842750.000000	0.000000	-1.270256	
1.292285	31780128.000000	0.000000	-1.266241	
1.296148	31717820.000000	0.000000	-1.262263	
1.300000	31655818.000000	0.000000	-1.258322	
