0.000000	-nan	-nan	-nan	
0.100000	29584426.000000	0.000000	98494.914062	
0.141421	28968414.000000	0.000000	6073.206543	
0.173205	28504442.000000	0.000000	1155.345215	
0.200000	28119072.000000	0.000000	338.293671	
0.223607	27783878.000000	0.000000	120.174805	
0.244949	27484276.000000	0.000000	44.739197	
0.264575	27211616.000000	0.000000	14.204821	
0.282843	26960262.000000	0.000000	0.578213	
0.300000	26726300.000000	0.000000	-5.843470	
0.316228	26506882.000000	0.000000	-8.912192	
0.331662	26299858.000000	0.000000	-10.319166	
0.346410	26103562.000000	0.000000	-10.866181	
0.360555	25916662.000000	0.000000	-10.956651	
0.374166	25738088.000000	0.000000	-10.803088	
0.387298	25566952.000000	0.000000	-10.521422	
0.400000	25402514.000000	0.000000	-10.176497	
0.412311	25244146.000000	0.000000	-9.805152	
0.424264	25091320.000000	0.000000	-9.428403	
0.435890	24943570.000000	0.000000	-9.058142	
0.447214	24800494.000000	0.000000	-8.700891	
0.458258	24661744.000000	0.000000	-8.359988	
0.469042	24527010.000000	0.000000	-8.036876	
0.479583	24396016.000000	0.000000	-7.731870	
0.489898	24268518.000000	0.000000	-7.444623	
0.500000	24144294.000000	0.000000	-7.174426	
0.509902	24023150.000000	0.000000	-6.920371	
0.519615	23904902.000000	0.000000	-6.681468	
0.529150	23789392.000000	0.000000	-6.456708	
0.538516	23676470.000000	0.000000	-6.245102	
0.547723	23566002.000000	0.000000	-6.045705	
0.556776	23457860.000000	0.000000	-5.857625	
0.565685	23351936.000000	0.000000	-5.680034	
0.574456	23248122.000000	0.000000	-5.512161	
0.583095	23146318.000000	0.000000	-5.353297	
0.591608	23046438.000000	0.000000	-5.202788	
0.600000	22948396.000000	0.000000	-5.060037	
0.608276	22852118.000000	0.000000	-4.924494	
0.616441	22757524.000000	0.000000	-4.795655	
0.624500	22664554.000000	0.000000	-4.673062	
0.632456	22573140.000000	0.000000	-4.556287	
0.640312	22483222.000000	0.000000	-4.444945	
0.648074	22394748.000000	0.000000	-4.338680	
0.655744	22307662.000000	0.000000	-4.237164	
0.663325	22221916.000000	0.000000	-4.140095	
0.670820	22137462.000000	0.000000	-4.047195	
0.678233	22054258.000000	0.000000	-3.958210	
0.685565	21972262.000000	0.000000	-3.872905	
0.692820	21891432.000000	0.000000	-3.791061	
0.700000	21811734.000000	0.000000	-3.712476	
0.707107	21733130.000000	0.000000	-3.636963	
0.714143	21655588.000000	0.000000	-3.564349	
0.721110	21579076.000000	0.000000	-3.494475	
0.728011	21503560.000000	0.000000	-3.427191	
0.734847	21429016.000000	0.000000	-3.362357	
0.741620	21355414.000000	0.000000	-3.299846	
0.748331	21282724.000000	0.000000	-3.239536	
0.754983	21210928.000000	0.000000	-3.181315	
0.761577	21139998.000000	0.000000	-3.125077	
0.768115	21069910.000000	0.000000	-3.070725	
0.774597	21000642.000000	0.000000	-3.018166	
0.781025	20932174.000000	0.000000	-2.967316	
0.787401	20864486.000000	0.000000	-2.918092	
0.793725	20797558.000000	0.000000	-2.870419	
0.800000	20731372.000000	0.000000	-2.824224	
0.806226	20665910.000000	0.000000	-2.779443	
0.812404	20601152.000000	0.000000	-2.736012	
0.818535	20537084.000000	0.000000	-2.693871	
0.824621	20473688.000000	0.000000	-2.652964	
0.830662	20410952.000000	0.000000	-2.613238	
