0.000000	-nan	-nan	-nan	
0.100000	-0.000032	0.000000	1652.042114	
0.141421	-0.000031	0.000000	132.487610	
0.173205	-0.000030	0.000000	23.226810	
0.200000	-0.000030	0.000000	2.242472	
0.223607	-0.000030	0.000000	-3.664256	
0.244949	-0.000029	0.000000	-5.617284	
0.264575	-0.000029	0.000000	-6.259274	
0.282843	-0.000029	0.000000	-6.402454	
0.300000	-0.000028	0.000000	-6.341490	
0.316228	-0.000028	0.000000	-6.195923	
0.331662	-0.000028	0.000000	-6.018013	
0.346410	-0.000028	0.000000	-5.831648	
0.360555	-0.000028	0.000000	-5.647915	
0.374166	-0.000027	0.000000	-5.471826	
0.387298	-0.000027	0.000000	-5.305420	
0.400000	-0.000027	0.000000	-5.149259	
0.412311	-0.000027	0.000000	-5.003175	
0.424264	-0.000027	0.000000	-4.866656	
0.435890	-0.000027	0.000000	-4.739047	
0.447214	-0.000026	0.000000	-4.619652	
0.458258	-0.000026	0.000000	-4.507787	
0.469042	-0.000026	0.000000	-4.402809	
0.479583	-0.000026	0.000000	-4.304124	
0.489898	-0.000026	0.000000	-4.211188	
0.500000	-0.000026	0.000000	-4.123513	
0.509902	-0.000026	0.000000	-4.040656	
0.519615	-0.000025	0.000000	-3.962220	
0.529150	-0.000025	0.000000	-3.887848	
0.538516	-0.000025	0.000000	-3.817220	
0.547723	-0.000025	0.000000	-3.750044	
0.556776	-0.000025	0.000000	-3.686062	
0.565685	-0.000025	0.000000	-3.625037	
0.574456	-0.000025	0.000000	-3.566758	
0.583095	-0.000025	0.000000	-3.511031	
0.591608	-0.000025	0.000000	-3.457680	
0.600000	-0.000024	0.000000	-3.406548	
0.608276	-0.000024	0.000000	-3.357487	
0.616441	-0.000024	0.000000	-3.310367	
0.624500	-0.000024	0.000000	-3.265066	
0.632456	-0.000024	0.000000	-3.221473	
0.640312	-0.000024	0.000000	-3.179485	
0.648074	-0.000024	0.000000	-3.139008	
0.655744	-0.000024	0.000000	-3.099957	
0.663325	-0.000024	0.000000	-3.062251	
0.670820	-0.000024	0.000000	-3.025816	
0.678233	-0.000024	0.000000	-2.990585	
0.685565	-0.000023	0.000000	-2.956493	
0.692820	-0.000023	0.000000	-2.923482	
0.700000	-0.000023	0.000000	-2.891496	
0.707107	-0.000023	0.000000	-2.860486	
0.714143	-0.000023	0.000000	-2.830402	
