0.000000	-nan	-nan	-nan	
0.100000	0.000000	0.000000	66835.835938	
0.141421	0.000000	0.000000	4121.104492	
0.173205	0.000000	0.000000	783.984314	
0.200000	0.000000	0.000000	229.556412	
0.223607	0.000000	0.000000	81.547195	
0.244949	0.000000	0.000000	30.358740	
0.264575	0.000000	0.000000	9.638986	
0.282843	0.000000	0.000000	0.392359	
0.300000	0.000000	0.000000	-3.965212	
0.316228	0.000000	0.000000	-6.047560	
0.331662	0.000000	0.000000	-7.002291	
0.346410	0.000000	0.000000	-7.373480	
0.360555	0.000000	0.000000	-7.434871	
0.374166	0.000000	0.000000	-7.330666	
0.387298	0.000000	0.000000	-7.139535	
0.400000	0.000000	0.000000	-6.905481	
0.412311	0.000000	0.000000	-6.653496	
0.424264	0.000000	0.000000	-6.397845	
0.435890	0.000000	0.000000	-6.146596	
0.447214	0.000000	0.000000	-5.904176	
0.458258	0.000000	0.000000	-5.672849	
0.469042	0.000000	0.000000	-5.453594	
0.479583	0.000000	0.000000	-5.246625	
0.489898	0.000000	0.000000	-5.051709	
0.500000	0.000000	0.000000	-4.868361	
0.509902	0.000000	0.000000	-4.695966	
0.519615	0.000000	0.000000	-4.533854	
0.529150	0.000000	0.000000	-4.381338	
0.538516	0.000000	0.000000	-4.237748	
0.547723	0.000000	0.000000	-4.102442	
0.556776	0.000000	0.000000	-3.974817	
0.565685	0.000000	0.000000	-3.854309	
0.574456	0.000000	0.000000	-3.740395	
0.583095	0.000000	0.000000	-3.632594	
0.591608	0.000000	0.000000	-3.530463	
0.600000	0.000000	0.000000	-3.433596	
0.608276	0.000000	0.000000	-3.341621	
0.616441	0.000000	0.000000	-3.254195	
0.624500	0.000000	0.000000	-3.171006	
0.632456	0.000000	0.000000	-3.091767	
0.640312	0.000000	0.000000	-3.016213	
0.648074	0.000000	0.000000	-2.944104	
0.655744	0.000000	0.000000	-2.875218	
0.663325	0.000000	0.000000	-2.809350	
0.670820	0.000000	0.000000	-2.746311	
0.678233	0.000000	0.000000	-2.685929	
0.685565	0.000000	0.000000	-2.628043	
0.692820	0.000000	0.000000	-2.572506	
0.700000	0.000000	0.000000	-2.519180	
0.707107	0.000000	0.000000	-2.467939	
0.714143	0.000000	0.000000	-2.418665	
0.721110	0.000000	0.000000	-2.371251	
0.728011	0.000000	0.000000	-2.325594	
0.734847	0.000000	0.000000	-2.281600	
0.741620	0.000000	0.000000	-2.239182	
0.748331	0.000000	0.000000	-2.198256	
0.754983	0.000000	0.000000	-2.158749	
0.761577	0.000000	0.000000	-2.120588	
0.768115	0.000000	0.000000	-2.083706	
0.774597	0.000000	0.000000	-2.048041	
0.781025	0.000000	0.000000	-2.013536	
0.787401	0.000000	0.000000	-1.980134	
0.793725	0.000000	0.000000	-1.947784	
0.800000	0.000000	0.000000	-1.916438	
0.806226	0.000000	0.000000	-1.886051	
0.812404	0.000000	0.000000	-1.856580	
0.818535	0.000000	0.000000	-1.827984	
0.824621	0.000000	0.000000	-1.800225	
0.830662	0.000000	0.000000	-1.773269	
0.836660	0.000000	0.000000	-1.747079	
0.842615	0.000000	0.000000	-1.721626	
0.848528	0.000000	0.000000	-1.696878	
0.854400	0.000000	0.000000	-1.672807	
0.860233	0.000000	0.000000	-1.649386	
0.866025	0.000000	0.000000	-1.626589	
0.871780	0.000000	0.000000	-1.604392	
0.877496	0.000000	0.000000	-1.582771	
0.883176	0.000000	0.000000	-1.561705	
0.888819	0.000000	0.000000	-1.541172	
0.894427	0.000000	0.000000	-1.521154	
0.900000	0.000000	0.000000	-1.501631	
0.905539	0.000000	0.000000	-1.482584	
0.911043	0.000000	0.000000	-1.463997	
0.916515	0.000000	0.000000	-1.445854	
0.921954	0.000000	0.000000	-1.428139	
0.927362	0.000000	0.000000	-1.410838	
0.932738	0.000000	0.000000	-1.393935	
0.938083	0.000000	0.000000	-1.377418	
0.943398	0.000000	0.000000	-1.361274	
0.948683	0.000000	0.000000	-1.345490	
0.953939	0.000000	0.000000	-1.330054	
0.959166	0.000000	0.000000	-1.314956	
0.964365	0.000000	0.000000	-1.300184	
0.969536	0.000000	0.000000	-1.285727	
0.974679	0.000000	0.000000	-1.271577	
0.979796	0.000000	0.000000	-1.257723	
0.984886	0.000000	0.000000	-1.244157	
0.989949	0.000000	0.000000	-1.230869	
0.994987	0.000000	0.000000	-1.217851	
1.000000	0.000000	0.000000	-1.205095	
1.004988	0.000000	0.000000	-1.192594	
1.009950	0.000000	0.000000	-1.180339	
1.014889	0.000000	0.000000	-1.168324	
1.019804	0.000000	0.000000	-1.156542	
1.024695	0.000000	0.000000	-1.144986	
1.029563	0.000000	0.000000	-1.133650	
1.034408	0.000000	0.000000	-1.122527	
1.039230	0.000000	0.000000	-1.111612	
1.044031	0.000000	0.000000	-1.100899	
1.048809	0.000000	0.000000	-1.090382	
1.053565	0.000000	0.000000	-1.080057	
1.058301	0.000000	0.000000	-1.069917	
1.063015	0.000000	0.000000	-1.059959	
1.067708	0.000000	0.000000	-1.050177	
1.072381	0.000000	0.000000	-1.040567	
1.077033	0.000000	0.000000	-1.031124	
1.081665	0.000000	0.000000	-1.021843	
1.086278	0.000000	0.000000	-1.012722	
1.090871	0.000000	0.000000	-1.003756	
1.095445	0.000000	0.000000	-0.994940	
1.100000	0.000000	0.000000	-0.986272	
1.104536	0.000000	0.000000	-0.977748	
1.109054	0.000000	0.000000	-0.969363	
1.113553	0.000000	0.000000	-0.961115	
1.118034	0.000000	0.000000	-0.953001	
1.122497	0.000000	0.000000	-0.945017	
1.126943	0.000000	0.000000	-0.937160	
1.131371	0.000000	0.000000	-0.929427	
1.135782	0.000000	0.000000	-0.921815	
1.140175	0.000000	0.000000	-0.914322	
1.144552	0.000000	0.000000	-0.906945	
1.148913	0.000000	0.000000	-0.899681	
1.153256	0.000000	0.000000	-0.892527	
1.157584	0.000000	0.000000	-0.885482	
1.161895	0.000000	0.000000	-0.878542	
1.166190	0.000000	0.000000	-0.871706	
1.170470	0.000000	0.000000	-0.864970	
1.174734	0.000000	0.000000	-0.858334	
1.178983	0.000000	0.000000	-0.851794	
1.183216	0.000000	0.000000	-0.845349	
1.187434	0.000000	0.000000	-0.838997	
1.191638	0.000000	0.000000	-0.832735	
1.195826	0.000000	0.000000	-0.826562	
1.200000	0.000000	0.000000	-0.820476	
1.204159	0.000000	0.000000	-0.814475	
1.208305	0.000000	0.000000	-0.808557	
1.212436	0.000000	0.000000	-0.802721	
1.216553	0.000000	0.000000	-0.796966	
1.220656	0.000000	0.000000	-0.791288	
1.224745	0.000000	0.000000	-0.785687	
1.228821	0.000000	0.000000	-0.780162	
1.232883	0.000000	0.000000	-0.774710	
1.236932	0.000000	0.000000	-0.769331	
1.240967	0.000000	0.000000	-0.764022	
1.244990	0.000000	0.000000	-0.758784	
1.249000	0.000000	0.000000	-0.753613	
1.252996	0.000000	0.000000	-0.748509	
1.256981	0.000000	0.000000	-0.743471	
1.260952	0.000000	0.000000	-0.738497	
1.264911	0.000000	0.000000	-0.733587	
1.268858	0.000000	0.000000	-0.728738	
1.272792	0.000000	0.000000	-0.723950	
1.276715	0.000000	0.000000	-0.719222	
1.280625	0.000000	0.000000	-0.714552	
1.284523	0.000000	0.000000	-0.709940	
1.288410	0.000000	0.000000	-0.705385	
1.292285	0.000000	0.000000	-0.700885	
1.296148	0.000000	0.000000	-0.696440	
1.300000	0.000000	0.000000	-0.692048	
1.303840	0.000000	0.000000	-0.687708	
1.307670	0.000000	0.000000	-0.683420	
1.311488	0.000000	0.000000	-0.679183	
1.315295	0.000000	0.000000	-0.674996	
1.319091	0.000000	0.000000	-0.670858	
1.322876	0.000000	0.000000	-0.666768	
1.326650	0.000000	0.000000	-0.662725	
1.330413	0.000000	0.000000	-0.658728	
1.334166	0.000000	0.000000	-0.654778	
1.337909	0.000000	0.000000	-0.650872	
1.341641	0.000000	0.000000	-0.647011	
1.345362	0.000000	0.000000	-0.643193	
1.349074	0.000000	0.000000	-0.639418	
1.352775	0.000000	0.000000	-0.635684	
1.356466	0.000000	0.000000	-0.631992	
1.360147	0.000000	0.000000	-0.628341	
1.363818	0.000000	0.000000	-0.624730	
1.367479	0.000000	0.000000	-0.621158	
1.371131	0.000000	0.000000	-0.617625	
1.374773	0.000000	0.000000	-0.614130	
1.378405	0.000000	0.000000	-0.610673	
1.382027	0.000000	0.000000	-0.607252	
1.385641	0.000000	0.000000	-0.603868	
1.389244	0.000000	0.000000	-0.600520	
1.392839	0.000000	0.000000	-0.597206	
1.396424	0.000000	0.000000	-0.593928	
1.400000	0.000000	0.000000	-0.590684	
1.403567	0.000000	0.000000	-0.587473	
1.407125	0.000000	0.000000	-0.584295	
1.410674	0.000000	0.000000	-0.581150	
1.414214	0.000000	0.000000	-0.578037	
1.417745	0.000000	0.000000	-0.574956	
1.421267	0.000000	0.000000	-0.571905	
1.424781	0.000000	0.000000	-0.568886	
1.428286	0.000000	0.000000	-0.565896	
1.431782	0.000000	0.000000	-0.562937	
1.435270	0.000000	0.000000	-0.560007	
1.438749	0.000000	0.000000	-0.557106	
1.442221	0.000000	0.000000	-0.554233	
1.445683	0.000000	0.000000	-0.551388	
1.449138	0.000000	0.000000	-0.548571	
1.452584	0.000000	0.000000	-0.545781	
1.456022	0.000000	0.000000	-0.543019	
1.459452	0.000000	0.000000	-0.540282	
1.462874	0.000000	0.000000	-0.537572	
1.466288	0.000000	0.000000	-0.534888	
1.469694	0.000000	0.000000	-0.532229	
1.473092	0.000000	0.000000	-0.529595	
1.476482	0.000000	0.000000	-0.526986	
1.479865	0.000000	0.000000	-0.524401	
1.483240	0.000000	0.000000	-0.521841	
1.486607	0.000000	0.000000	-0.519304	
1.489966	0.000000	0.000000	-0.516790	
1.493318	0.000000	0.000000	-0.514300	
1.496663	0.000000	0.000000	-0.511832	
1.500000	0.000000	0.000000	-0.509386	
1.503330	0.000000	0.000000	-0.506963	
1.506652	0.000000	0.000000	-0.504562	
1.509967	0.000000	0.000000	-0.502182	
1.513275	0.000000	0.000000	-0.499824	
1.516575	0.000000	0.000000	-0.497486	
1.519868	0.000000	0.000000	-0.495169	
1.523155	0.000000	0.000000	-0.492873	
1.526434	0.000000	0.000000	-0.490597	
1.529706	0.000000	0.000000	-0.488341	
1.532971	0.000000	0.000000	-0.486105	
1.536229	0.000000	0.000000	-0.483888	
1.539480	0.000000	0.000000	-0.481690	
1.542725	0.000000	0.000000	-0.479511	
1.545962	0.000000	0.000000	-0.477350	
1.549193	0.000000	0.000000	-0.475209	
1.552417	0.000000	0.000000	-0.473085	
1.555635	0.000000	0.000000	-0.470979	
1.558846	0.000000	0.000000	-0.468892	
1.562050	0.000000	0.000000	-0.466821	
1.565248	0.000000	0.000000	-0.464769	
1.568439	0.000000	0.000000	-0.462733	
1.571623	0.000000	0.000000	-0.460714	
1.574802	0.000000	0.000000	-0.458712	
1.577973	0.000000	0.000000	-0.456726	
1.581139	0.000000	0.000000	-0.454757	
1.584298	0.000000	0.000000	-0.452804	
1.587451	0.000000	0.000000	-0.450866	
1.590597	0.000000	0.000000	-0.448945	
1.593738	0.000000	0.000000	-0.447039	
1.596872	0.000000	0.000000	-0.445148	
1.600000	0.000000	0.000000	-0.443272	
1.603122	0.000000	0.000000	-0.441412	
1.606238	0.000000	0.000000	-0.439566	
1.609348	0.000000	0.000000	-0.437735	
1.612452	0.000000	0.000000	-0.435918	
1.615549	0.000000	0.000000	-0.434116	
1.618641	0.000000	0.000000	-0.432328	
1.621727	0.000000	0.000000	-0.430553	
1.624808	0.000000	0.000000	-0.428793	
1.627882	0.000000	0.000000	-0.427046	
1.630951	0.000000	0.000000	-0.425313	
1.634013	0.000000	0.000000	-0.423593	
1.637071	0.000000	0.000000	-0.421887	
1.640122	0.000000	0.000000	-0.420193	
1.643168	0.000000	0.000000	-0.418512	
1.646208	0.000000	0.000000	-0.416844	
1.649242	0.000000	0.000000	-0.415189	
1.652271	0.000000	0.000000	-0.413546	
1.655295	0.000000	0.000000	-0.411915	
1.658312	0.000000	0.000000	-0.410297	
1.661325	0.000000	0.000000	-0.408691	
1.664332	0.000000	0.000000	-0.407096	
1.667333	0.000000	0.000000	-0.405514	
1.670329	0.000000	0.000000	-0.403943	
1.673320	0.000000	0.000000	-0.402384	
1.676305	0.000000	0.000000	-0.400836	
1.679286	0.000000	0.000000	-0.399299	
1.682260	0.000000	0.000000	-0.397774	
1.685230	0.000000	0.000000	-0.396259	
